time_s,T_center,T_surface,C_center,C_surface
611,28.4778,30.2207,2.5500,1.8723
612,28.4800,30.2259,2.5500,1.8718
613,28.4823,30.2311,2.5500,1.8713
614,28.4845,30.2363,2.5500,1.8709
615,28.4868,30.2415,2.5500,1.8704
616,28.4891,30.2468,2.5500,1.8699
617,28.4913,30.2520,2.5500,1.8695
618,28.4936,30.2573,2.5500,1.8690
619,28.4959,30.2626,2.5500,1.8686
620,28.4982,30.2679,2.5500,1.8681
621,28.5005,30.2732,2.5500,1.8676
622,28.5027,30.2785,2.5500,1.8672
623,28.5050,30.2838,2.5500,1.8667
624,28.5073,30.2892,2.5500,1.8663
625,28.5097,30.2945,2.5500,1.8658
626,28.5120,30.2999,2.5500,1.8653
627,28.5143,30.3053,2.5500,1.8649
628,28.5166,30.3106,2.5500,1.8644
629,28.5189,30.3160,2.5500,1.8640
630,28.5213,30.3215,2.5500,1.8635
