t_h,dT_K
16.6000,-0.003334
16.6167,-0.003325
16.6333,-0.003315
16.6500,-0.003306
16.6667,-0.003296
16.6833,-0.003287
16.7000,-0.003277
16.7167,-0.003267
16.7333,-0.003259
16.7500,-0.003249
16.7667,-0.003240
16.7833,-0.003231
16.8000,-0.003221
16.8167,-0.003213
16.8333,-0.003203
16.8500,-0.003194
16.8667,-0.003185
16.8833,-0.003176
16.9000,-0.003168
16.9167,-0.003158
16.9333,-0.003149
16.9500,-0.003141
16.9667,-0.003132
16.9833,-0.003122
17.0000,-0.003114
17.0167,-0.003106
17.0333,-0.003097
17.0500,-0.003088
17.0667,-0.003080
17.0833,-0.003071
17.1000,-0.003063
17.1167,-0.003054
17.1333,-0.003046
17.1500,-0.003037
17.1667,-0.003029
17.1833,-0.003021
17.2000,-0.003012
17.2167,-0.003004
17.2333,-0.002996
17.2500,-0.002988
17.2667,-0.002980
17.2833,-0.002971
17.3000,-0.002963
17.3167,-0.002955
17.3333,-0.002947
17.3500,-0.002939
17.3667,-0.002931
17.3833,-0.002923
17.4000,-0.002915
17.4167,-0.002908
17.4333,-0.002899
17.4500,-0.002892
17.4667,-0.002883
17.4833,-0.002876
17.5000,-0.002868
17.5167,-0.002860
17.5333,-0.002852
17.5500,-0.002846
17.5667,-0.002837
17.5833,-0.002830
17.6000,-0.002822
17.6167,-0.002814
17.6333,-0.002807
17.6500,-0.002799
17.6667,-0.002792
17.6833,-0.002784
17.7000,-0.002777
17.7167,-0.002769
17.7333,-0.002763
17.7500,-0.002755
17.7667,-0.002748
17.7833,-0.002741
17.8000,-0.002733
17.8167,-0.002726
17.8333,-0.002718
17.8500,-0.002711
17.8667,-0.002704
17.8833,-0.002697
17.9000,-0.002690
17.9167,-0.002683
17.9333,-0.002676
17.9500,-0.002669
17.9667,-0.002662
17.9833,-0.002655
18.0000,-0.002648
18.0167,-0.002641
18.0333,-0.002634
18.0500,-0.002627
18.0667,-0.002620
18.0833,-0.002613
18.1000,-0.002607
18.1167,-0.002599
18.1333,-0.002593
18.1500,-0.002586
18.1667,-0.002579
18.1833,-0.002572
18.2000,-0.002566
18.2167,-0.002559
18.2333,-0.002552
18.2500,-0.002545
18.2667,-0.002539
18.2833,-0.002533
18.3000,-0.002525
18.3167,-0.002519
18.3333,-0.002513
18.3500,-0.002506
18.3667,-0.002499
18.3833,-0.002493
18.4000,-0.002487
18.4167,-0.002480
18.4333,-0.002474
18.4500,-0.002468
18.4667,-0.002461
18.4833,-0.002455
18.5000,-0.002448
18.5167,-0.002442
18.5333,-0.002436
18.5500,-0.002430
18.5667,-0.002424
18.5833,-0.002417
18.6000,-0.002411
18.6167,-0.002405
18.6333,-0.002399
18.6500,-0.002392
18.6667,-0.002387
18.6833,-0.002380
18.7000,-0.002374
18.7167,-0.002369
18.7333,-0.002362
18.7500,-0.002356
18.7667,-0.002351
18.7833,-0.002345
18.8000,-0.002339
18.8167,-0.002333
18.8333,-0.002327
18.8500,-0.002321
18.8667,-0.002315
18.8833,-0.002310
18.9000,-0.002303
18.9167,-0.002298
18.9333,-0.002292
18.9500,-0.002286
18.9667,-0.002281
18.9833,-0.002275
19.0000,-0.002269
19.0167,-0.002264
19.0333,-0.002258
19.0500,-0.002253
19.0667,-0.002247
19.0833,-0.002241
19.1000,-0.002236
19.1167,-0.002230
19.1333,-0.002224
19.1500,-0.002219
19.1667,-0.002214
19.1833,-0.002209
19.2000,-0.002203
19.2167,-0.002198
19.2333,-0.002192
19.2500,-0.002187
19.2667,-0.002182
19.2833,-0.002176
19.3000,-0.002170
19.3167,-0.002165
19.3333,-0.002160
19.3500,-0.002155
19.3667,-0.002150
19.3833,-0.002144
19.4000,-0.002139
19.4167,-0.002134
19.4333,-0.002129
19.4500,-0.002123
19.4667,-0.002118
19.4833,-0.002113
19.5000,-0.002108
19.5167,-0.002103
19.5333,-0.002098
19.5500,-0.002093
19.5667,-0.002088
19.5833,-0.002082
19.6000,-0.002077
19.6167,-0.002073
19.6333,-0.002067
19.6500,-0.002063
19.6667,-0.002058
19.6833,-0.002052
19.7000,-0.002048
19.7167,-0.002043
19.7333,-0.002038
19.7500,-0.002034
19.7667,-0.002028
19.7833,-0.002024
19.8000,-0.002018
19.8167,-0.002014
19.8333,-0.002009
19.8500,-0.002005
19.8667,-0.002000
19.8833,-0.001995
19.9000,-0.001991
19.9167,-0.001986
19.9333,-0.001981
19.9500,-0.001976
19.9667,-0.001971
19.9833,-0.001967
20.0000,-0.001962
20.0167,-0.001958
20.0333,-0.001953
20.0500,-0.001948
20.0667,-0.001944
20.0833,-0.001940
20.1000,-0.001935
20.1167,-0.001930
20.1333,-0.001926
20.1500,-0.001921
20.1667,-0.001917
20.1833,-0.001913
20.2000,-0.001908
20.2167,-0.001904
20.2333,-0.001900
20.2500,-0.001895
20.2667,-0.001891
20.2833,-0.001887
